frame,timestamp_video,timestamp_pupildata,x,y,a,b,p
1, 235315.480147, 235315.480147, 168.310822, 71.522331, 11.288136, 12.953028, 160.397293
2, 235315.506547, 235315.506547, 96.892769, 89.175781, 23.789375, 26.134449, 73.436516
3, 235315.558923, 235315.558923, 96.807144, 88.871315, 23.289825, 25.522552, 70.799522
4, 235315.579058, 235315.579058, 96.813927, 89.027557, 23.579031, 25.187849, 70.473579
5, 235315.596744, 235315.596744, 96.796104, 89.020378, 23.435856, 25.167755, 70.960945
6, 235315.613957, 235315.613957, 96.771652, 89.112190, 22.991585, 24.902369, 73.117599
7, 235315.622179, 235315.622179, 96.785294, 89.093262, 23.175013, 24.923111, 73.280869
8, 235315.632913, 235315.632913, 96.801689, 89.150055, 22.946110, 25.008993, 79.049240
9, 235315.646451, 235315.646451, 96.775925, 89.071114, 22.867640, 24.906742, 72.480270
10, 235315.655424, 235315.655424, 96.718323, 89.082054, 23.008154, 24.815008, 71.111420
11, 235315.664146, 235315.664146, 96.728195, 89.215469, 22.515167, 25.009653, 74.961372
12, 235315.672706, 235315.672706, 96.806458, 89.041000, 22.946375, 24.619400, 80.162888
13, 235315.682301, 235315.682301, 96.796783, 89.145180, 22.656523, 24.787916, 75.332329
14, 235315.690428, 235315.690428, 96.798187, 89.218925, 22.546047, 24.875587, 73.856575
15, 235315.774030, 235315.774030, 97.036446, 89.291588, 22.394808, 24.696762, 71.812988
16, 235315.787734, 235315.787734, 96.828445, 89.289406, 22.545944, 25.137371, 77.929901
17, 235315.804777, 235315.804777, 93.804443, 89.733505, 22.225391, 25.262039, 70.546532
18, 235315.823055, 235315.823055, 164.229385, 71.782494, 11.742129, 22.093821, 106.080460
19, 235315.862039, 235315.862039, 68.759247, 93.600006, 19.815332, 24.914276, 43.276779
20, 235315.875286, 235315.875286, 66.954941, 94.073235, 19.720686, 24.512400, 41.275211
21, 235315.883922, 235315.883922, 64.843536, 94.513084, 18.840694, 25.139891, 36.148331
22, 235315.892012, 235315.892012, 63.644764, 95.075447, 19.060160, 24.842953, 35.390549
23, 235315.900830, 235315.900830, 63.927834, 94.971161, 19.329485, 25.431227, 38.541763
24, 235315.946141, 235315.946141, 63.967697, 95.039818, 19.478270, 25.541264, 35.714642
25, 235315.963693, 235315.963693, 64.032234, 94.983101, 19.557566, 25.517590, 35.318783
26, 235316.001381, 235316.001381, 64.160576, 95.127289, 20.017805, 25.539200, 35.198780
27, 235316.018690, 235316.018690, 64.247574, 95.055244, 19.861027, 25.848217, 36.978336
28, 235316.027595, 235316.027595, 64.237167, 95.004105, 19.919420, 25.874668, 35.999512
29, 235316.036948, 235316.036948, 64.210243, 95.012070, 19.857462, 25.629248, 36.418446
30, 235316.051556, 235316.051556, 64.152863, 95.088310, 19.967140, 25.551447, 35.268127
31, 235316.063543, 235316.063543, 62.063953, 94.817947, 19.563818, 25.484978, 32.905582
32, 235316.077749, 235316.077749, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
33, 235316.116254, 235316.116254, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
34, 235316.181681, 235316.181681, 59.136074, 93.469673, 18.171301, 24.580383, 31.624678
35, 235316.212599, 235316.212599, 59.180004, 93.427818, 18.116549, 24.740803, 31.846834
36, 235316.223959, 235316.223959, 59.187977, 93.502922, 18.025513, 24.739561, 31.562723
37, 235316.234949, 235316.234949, 59.117985, 93.499046, 17.967117, 24.722342, 30.585793
38, 235316.244713, 235316.244713, 59.120090, 93.406090, 18.098309, 24.914858, 28.852119
39, 235316.257162, 235316.257162, 59.161633, 93.487495, 18.125782, 24.712044, 29.230473
40, 235316.269960, 235316.269960, 59.168663, 93.562256, 17.899849, 24.701441, 32.025223
41, 235316.364551, 235316.364551, 60.110569, 92.706810, 17.805595, 24.320995, 35.230213
42, 235316.378161, 235316.378161, 59.969681, 92.802132, 17.668699, 24.157644, 33.241840
43, 235316.387566, 235316.387566, 60.018906, 92.704765, 17.947578, 24.345306, 33.824364
