frame,timestamp_video,timestamp_pupildata,x,y,a,b,p
1, 235233.154924, 235233.154924, 86.670158, 113.338913, 21.511816, 22.438044, 84.538658
2, 235233.173838, 235233.173838, 86.630386, 113.255798, 21.475269, 22.428070, 86.380318
3, 235233.250964, 235233.250964, 87.018951, 113.288307, 20.919289, 21.897486, 82.488235
4, 235233.281078, 235233.281078, 88.575165, 112.539444, 20.601858, 23.268913, 78.187241
5, 235233.292220, 235233.292220, 88.986572, 112.288170, 20.789740, 21.871553, 73.745728
6, 235233.307214, 235233.307214, 88.984276, 112.242210, 20.640360, 22.198038, 74.133568
7, 235233.318223, 235233.318223, 89.093697, 112.109360, 20.814157, 22.213671, 60.581848
8, 235233.326937, 235233.326937, 89.098877, 112.307648, 20.907507, 21.902088, 72.009598
9, 235233.335654, 235233.335654, 89.124626, 112.339928, 20.974142, 21.899960, 75.277733
10, 235233.346134, 235233.346134, 89.143509, 112.233093, 20.749565, 22.132212, 71.042084
11, 235233.366478, 235233.366478, 89.204826, 112.168404, 20.909243, 22.210032, 57.901348
12, 235233.390019, 235233.390019, 93.039139, 109.877029, 20.152260, 22.803524, 63.278942
13, 235233.446025, 235233.446025, 172.442139, 92.813950, 11.622662, 12.750819, 52.535194
14, 235233.479908, 235233.479908, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
15, 235233.496168, 235233.496168, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
16, 235233.520449, 235233.520449, 117.400200, 95.927841, 19.938658, 20.637018, 178.418320
17, 235233.542250, 235233.542250, 117.401291, 95.836197, 19.973955, 20.879005, 166.618393
18, 235233.552045, 235233.552045, 117.598190, 95.715637, 19.919214, 21.251726, 179.187759
19, 235233.567174, 235233.567174, 117.631302, 95.784973, 19.850876, 21.034658, 179.634171
20, 235233.598531, 235233.598531, 117.538544, 95.594093, 19.748192, 21.154678, 168.391510
21, 235233.646484, 235233.646484, 117.275391, 95.937599, 19.962740, 20.653578, 143.036743
22, 235233.658479, 235233.658479, 117.619987, 95.882706, 19.910519, 20.674311, 146.663132
23, 235233.666983, 235233.666983, 117.146942, 95.986671, 19.785576, 20.720581, 147.004074
24, 235233.678085, 235233.678085, 113.639328, 97.194595, 20.538416, 21.474316, 155.242447
25, 235233.689982, 235233.689982, 112.451477, 97.728462, 20.528267, 20.919781, 134.600449
26, 235233.704824, 235233.704824, 111.940605, 97.887314, 20.010138, 21.132441, 134.106293
27, 235233.714297, 235233.714297, 111.635612, 98.061821, 20.117350, 21.390713, 101.643021
28, 235233.723508, 235233.723508, 111.771255, 97.959770, 20.095650, 21.193380, 135.512375
29, 235233.732443, 235233.732443, 111.753075, 97.911285, 20.471695, 21.421677, 112.696648
30, 235233.741794, 235233.741794, 111.541351, 97.915558, 20.327158, 22.248716, 87.585083
31, 235233.751011, 235233.751011, 111.719322, 97.879639, 20.684845, 21.499537, 109.631172
32, 235233.760143, 235233.760143, 111.669678, 97.916664, 20.428150, 21.795799, 98.469284
33, 235233.785737, 235233.785737, 111.883217, 97.859573, 20.498131, 21.062136, 159.910873
34, 235233.847071, 235233.847071, 111.997612, 97.998123, 20.986643, 21.751366, 118.112633
35, 235233.866707, 235233.866707, 111.975761, 97.803116, 21.162548, 22.089962, 116.672592
36, 235233.876695, 235233.876695, 111.797180, 97.782150, 21.582836, 22.580959, 120.007599
37, 235233.899341, 235233.899341, 111.609879, 97.888702, 21.541931, 22.136784, 116.467270
38, 235233.926425, 235233.926425, 110.798721, 97.970413, 21.426844, 22.364811, 163.087250
39, 235233.958333, 235233.958333, 110.596817, 98.064926, 21.720280, 22.654865, 129.604630
40, 235233.977643, 235233.977643, 110.470024, 97.927704, 22.206289, 22.974716, 109.732170
41, 235233.999640, 235233.999640, 110.582359, 97.858681, 21.727924, 23.216347, 127.713028
42, 235234.018361, 235234.018361, 110.623650, 97.891701, 21.561668, 22.913668, 140.059433
43, 235234.039266, 235234.039266, 110.604958, 97.949371, 21.842098, 22.831463, 123.975586
44, 235234.056454, 235234.056454, 110.551834, 97.968628, 21.880285, 22.893993, 117.220009
45, 235234.085798, 235234.085798, 110.569855, 98.091240, 21.982067, 22.835665, 109.805923
46, 235234.153479, 235234.153479, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
47, 235234.169820, 235234.169820, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
48, 235234.186978, 235234.186978, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
49, 235234.199788, 235234.199788, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
50, 235234.217106, 235234.217106, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
51, 235234.231348, 235234.231348, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
52, 235234.252650, 235234.252650, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
53, 235234.340886, 235234.340886, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
54, 235234.357154, 235234.357154, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
55, 235234.373108, 235234.373108, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
56, 235234.386647, 235234.386647, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
57, 235234.447131, 235234.447131, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
58, 235234.470767, 235234.470767, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
59, 235234.498452, 235234.498452, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
60, 235234.513443, 235234.513443, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
61, 235234.534835, 235234.534835, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
62, 235234.548962, 235234.548962, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
63, 235234.569405, 235234.569405, 174.194031, 18.376125, 24.948862, 62.206715, 168.222092
64, 235234.598087, 235234.598087, 96.453369, 87.233749, 20.460072, 23.218733, 78.955635
65, 235234.644140, 235234.644140, 96.475044, 87.352242, 21.305428, 23.096682, 78.739532
66, 235234.671583, 235234.671583, 96.468193, 87.346848, 21.221493, 23.202944, 85.279907
67, 235234.699482, 235234.699482, 96.397591, 87.242195, 21.597910, 23.430386, 84.852280
68, 235234.736304, 235234.736304, 96.474731, 87.335892, 21.615643, 23.159618, 87.443092
69, 235234.816377, 235234.816377, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
