filename,eye,blink,exp,w,h,roi_x,roi_y,roi_w,sub
2P-fc2_save_20200806_1_0001.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0002.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0003.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0004.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0005.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0006.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0007.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0008.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0009.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0010.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0011.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0012.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0013.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0014.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0015.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0016.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0017.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0018.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0019.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0020.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0021.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0022.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0023.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0024.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0025.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0026.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0027.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0028.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0029.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0030.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0031.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0032.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0033.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0034.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0035.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0036.jpg,1,0,2p,334,446,85,60,128,1
2P-fc2_save_20200806_1_0037.jpg,1,0,2p,334,446,85,60,128,1
