frame,timestamp_video,timestamp_pupildata,x,y,a,b,p
1, 235484.610075, 235484.610075, 83.069168, 83.282982, 24.072023, 25.321306, 113.355484
2, 235484.630091, 235484.630091, 83.651726, 83.964592, 24.194393, 24.822235, 151.023926
3, 235484.641831, 235484.641831, 84.039375, 84.412766, 24.188911, 25.091007, 156.211044
4, 235484.651860, 235484.651860, 84.427406, 85.044617, 23.412249, 24.767437, 69.383797
5, 235484.688341, 235484.688341, 85.123116, 85.512779, 23.091652, 24.499813, 61.001865
6, 235484.749983, 235484.749983, 73.740799, 84.427307, 20.946249, 24.536575, 53.467030
7, 235484.762798, 235484.762798, 66.118690, 84.541252, 20.426081, 23.617640, 39.263973
8, 235484.782781, 235484.782781, 61.260422, 84.625275, 19.368660, 23.757320, 35.051350
9, 235484.793913, 235484.793913, 59.255196, 84.428551, 19.090672, 23.242712, 37.880978
10, 235484.804381, 235484.804381, 59.010887, 84.223526, 19.035479, 23.581884, 35.416595
11, 235484.815488, 235484.815488, 58.817081, 84.158257, 19.088634, 23.330700, 33.990871
12, 235484.826921, 235484.826921, 58.516388, 83.905113, 18.784563, 23.329607, 36.202282
13, 235484.837433, 235484.837433, 58.481823, 83.851654, 18.535889, 23.540901, 36.245827
14, 235484.882180, 235484.882180, 58.444355, 84.122368, 18.371634, 23.415253, 33.768383
15, 235484.897922, 235484.897922, 58.425900, 84.218880, 18.300049, 23.682760, 35.193993
16, 235484.913229, 235484.913229, 58.664135, 84.434380, 18.514843, 23.681746, 36.815876
17, 235484.947968, 235484.947968, 58.600517, 84.608612, 18.567194, 23.671537, 34.253448
18, 235484.961307, 235484.961307, 58.671425, 84.674736, 18.704487, 23.842199, 35.756252
19, 235484.979051, 235484.979051, 58.571358, 84.733528, 18.654961, 23.897295, 36.454132
20, 235484.990066, 235484.990066, 58.519966, 84.829811, 18.758659, 23.562056, 36.483139
21, 235484.999898, 235484.999898, 58.527161, 84.794075, 18.621130, 23.720074, 37.527058
22, 235485.010266, 235485.010266, 57.059589, 84.609825, 18.900145, 23.460487, 40.406189
23, 235485.019045, 235485.019045, 56.068424, 84.112289, 17.946707, 23.849955, 34.876240
24, 235485.027716, 235485.027716, 55.925720, 83.829437, 17.610613, 23.884851, 34.716286
25, 235485.036765, 235485.036765, 55.955109, 83.814964, 17.704241, 23.737680, 34.714176
26, 235485.047182, 235485.047182, 55.914589, 83.791939, 17.857059, 23.684565, 33.953617
27, 235485.056454, 235485.056454, 56.129559, 83.705872, 17.945574, 23.659286, 34.780315
28, 235485.065720, 235485.065720, 56.028744, 83.517029, 17.981094, 23.451469, 34.400524
29, 235485.092214, 235485.092214, 56.022629, 83.488525, 18.137184, 23.701138, 35.470531
30, 235485.108731, 235485.108731, 56.173046, 83.413429, 18.228632, 23.938810, 33.651436
31, 235485.145892, 235485.145892, 56.073254, 83.223930, 18.292576, 23.931976, 34.553833
32, 235485.162052, 235485.162052, 56.175610, 83.166382, 18.452208, 24.026102, 33.050926
