frame,timestamp_video,timestamp_pupildata,x,y,a,b,p
1, 235484.610860, 235484.610860, 72.012459, 148.466080, 20.817589, 24.288332, 72.061699
2, 235484.637193, 235484.637193, 72.060463, 147.501175, 20.890039, 24.260405, 73.701157
3, 235484.651359, 235484.651359, 72.001686, 147.416550, 20.886934, 24.193983, 70.478157
4, 235484.674832, 235484.674832, 72.027885, 147.218216, 21.146088, 24.108898, 70.903358
5, 235484.735554, 235484.735554, 76.846039, 149.252075, 20.204742, 23.775608, 69.896324
6, 235484.753561, 235484.753561, 82.529816, 151.980423, 18.521982, 23.120489, 55.812637
7, 235484.766273, 235484.766273, 87.346039, 153.873520, 17.127445, 22.611160, 54.697117
8, 235484.785824, 235484.785824, 90.479881, 154.901108, 16.009909, 22.571030, 49.677914
9, 235484.797524, 235484.797524, 91.150070, 155.447311, 15.933174, 22.365084, 48.970985
10, 235484.806146, 235484.806146, 91.400665, 155.569412, 15.881810, 22.578188, 51.192089
11, 235484.814930, 235484.814930, 91.510864, 155.715485, 15.791636, 22.307070, 48.399284
12, 235484.824367, 235484.824367, 91.739960, 155.714905, 15.720920, 22.287218, 48.838593
13, 235484.833020, 235484.833020, 91.863495, 155.863892, 15.313097, 22.357489, 48.674362
14, 235484.860164, 235484.860164, 91.974930, 155.931671, 15.306521, 22.620228, 51.964359
15, 235484.903084, 235484.903084, 92.217934, 155.961578, 15.129509, 22.428059, 50.390999
16, 235484.921184, 235484.921184, 92.610588, 155.857742, 15.509195, 22.431059, 51.456554
17, 235484.934869, 235484.934869, 92.705704, 155.872604, 15.467013, 22.146170, 49.786453
18, 235484.947123, 235484.947123, 92.891411, 155.876694, 15.235004, 22.403795, 50.314407
19, 235484.975773, 235484.975773, 92.895729, 155.929916, 15.205600, 22.587976, 50.252068
20, 235484.992048, 235484.992048, 93.040619, 155.937866, 15.341515, 22.655613, 48.433125
21, 235485.005431, 235485.005431, 93.109596, 156.034271, 15.249077, 22.633228, 50.454906
22, 235485.021620, 235485.021620, 94.225700, 156.857285, 14.895810, 22.710783, 49.290039
23, 235485.037342, 235485.037342, 94.154190, 157.352280, 14.329785, 22.885994, 50.446960
24, 235485.048594, 235485.048594, 94.119423, 157.414062, 14.594723, 23.119263, 49.142490
25, 235485.056841, 235485.056841, 94.077209, 157.513809, 14.443704, 23.303885, 50.147953
26, 235485.064808, 235485.064808, 94.006561, 157.580124, 14.446223, 23.016966, 48.939693
27, 235485.078596, 235485.078596, 94.080559, 157.503296, 14.419387, 23.253992, 48.827557
28, 235485.116525, 235485.116525, 94.139915, 157.716736, 14.803040, 23.261292, 49.966026
29, 235485.165619, 235485.165619, 94.179665, 157.733597, 14.873614, 23.192495, 49.603741
30, 235485.183550, 235485.183550, 93.955284, 157.685608, 14.693725, 23.494059, 49.115948
