frame,timestamp_video,timestamp_pupildata,x,y,a,b,p
1, 235122.333029, 235122.333029, 115.295715, 98.115196, 24.153603, 25.121435, 154.815689
2, 235122.352831, 235122.352831, 115.249443, 97.973488, 23.941660, 25.131489, 156.245956
3, 235122.373722, 235122.373722, 115.434006, 97.848183, 23.535170, 25.221630, 159.697281
4, 235122.389920, 235122.389920, 115.550560, 97.687531, 23.971544, 25.100662, 149.748840
5, 235122.472210, 235122.472210, 115.482002, 97.554047, 23.951664, 25.415474, 147.444168
6, 235122.491765, 235122.491765, 115.217606, 97.602470, 23.936691, 25.333355, 146.918121
7, 235122.502985, 235122.502985, 115.418434, 97.471718, 23.776987, 25.470528, 153.618210
8, 235122.512031, 235122.512031, 115.492905, 97.387550, 23.958866, 25.253725, 157.661087
9, 235122.521454, 235122.521454, 115.458214, 97.398300, 24.278660, 25.156097, 157.468887
10, 235122.530834, 235122.530834, 115.304321, 97.407814, 23.735086, 25.363668, 157.888718
11, 235122.540595, 235122.540595, 115.336182, 97.295853, 24.239265, 25.413225, 145.213638
12, 235122.550604, 235122.550604, 115.306396, 97.354881, 23.555712, 25.737097, 155.646957
13, 235122.570101, 235122.570101, 115.354179, 97.344780, 23.873745, 25.452194, 164.175949
14, 235122.639031, 235122.639031, 115.180969, 97.240829, 24.162508, 25.263941, 159.007584
15, 235122.654589, 235122.654589, 111.204102, 99.031166, 25.049286, 25.698858, 82.189171
16, 235122.672896, 235122.672896, 110.625259, 98.834961, 25.183884, 25.359428, 170.464737
17, 235122.683181, 235122.683181, 110.615219, 98.781601, 24.848713, 25.472452, 131.546310
18, 235122.695214, 235122.695214, 110.680183, 98.758888, 24.926292, 25.487257, 167.997330
19, 235122.704101, 235122.704101, 110.540428, 98.829865, 25.187366, 25.740238, 178.827057
20, 235122.720758, 235122.720758, 110.697670, 98.767876, 25.053413, 25.333509, 172.771027
21, 235122.736703, 235122.736703, 110.622849, 98.794922, 24.863400, 25.695967, 161.330994
22, 235122.746104, 235122.746104, 110.508476, 98.836357, 25.134745, 25.624382, 166.089706
23, 235122.755102, 235122.755102, 110.635765, 98.893791, 24.942064, 25.310320, 167.248322
24, 235122.763532, 235122.763532, 110.586662, 98.944038, 25.132221, 25.519690, 169.655075
25, 235122.779038, 235122.779038, 110.611122, 98.774345, 25.322966, 25.516005, 179.822784
26, 235122.866719, 235122.866719, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000
27, 235122.889282, 235122.889282, 61.229664, 90.726707, 18.287880, 25.087749, 38.764431
28, 235122.915386, 235122.915386, 59.165081, 92.255272, 18.280176, 24.484125, 35.047924
29, 235122.937094, 235122.937094, 58.948700, 92.247200, 17.294716, 24.600254, 33.924019
30, 235122.970232, 235122.970232, 59.120232, 92.142448, 17.592251, 24.153990, 34.695709
31, 235122.980128, 235122.980128, 59.224010, 92.351677, 17.587038, 24.224613, 32.255638
32, 235122.991702, 235122.991702, 59.206440, 92.231567, 17.286627, 24.234808, 35.228527
33, 235123.002045, 235123.002045, 59.281067, 92.273979, 17.594622, 24.018991, 35.001648
