frame,timestamp_video,timestamp_pupildata,x,y,a,b,p
1, 235122.424937, 235122.424937, 45.757256, 131.407089, 24.215588, 26.391909, 108.762909
2, 235122.453894, 235122.453894, 45.705605, 131.360825, 24.313412, 26.318274, 106.495918
3, 235122.475322, 235122.475322, 45.837151, 131.491669, 24.426479, 26.083977, 110.603981
4, 235122.509052, 235122.509052, 45.828964, 131.510422, 24.151514, 26.080858, 112.703995
5, 235122.542091, 235122.542091, 45.727760, 131.579376, 24.201880, 26.299580, 111.464867
6, 235122.575313, 235122.575313, 45.686005, 131.617706, 24.220125, 26.279236, 111.804214
7, 235122.609486, 235122.609486, 45.724747, 131.593994, 24.080492, 26.118580, 117.687912
8, 235122.645249, 235122.645249, 47.090435, 131.754578, 24.011971, 26.463985, 107.888245
9, 235122.675241, 235122.675241, 50.631725, 132.049484, 24.126474, 26.303232, 104.374794
10, 235122.708583, 235122.708583, 50.724590, 132.159409, 24.090876, 26.110325, 105.779915
11, 235122.741870, 235122.741870, 50.930653, 132.147079, 24.091381, 26.261692, 102.355644
12, 235122.778600, 235122.778600, 50.898571, 132.295120, 23.943647, 26.196682, 107.782486
13, 235122.808932, 235122.808932, 59.526424, 140.474686, 23.091875, 25.304455, 100.127617
14, 235122.842601, 235122.842601, 72.774689, 152.754684, 19.306780, 24.047737, 69.800713
15, 235122.877602, 235122.877602, 86.965149, 156.389465, 15.178171, 23.160683, 57.016460
16, 235122.937943, 235122.937943, 90.844193, 155.434387, 14.011730, 22.970913, 54.294758
17, 235122.964473, 235122.964473, 91.072945, 155.401215, 13.849603, 22.619623, 53.623447
18, 235122.993589, 235122.993589, 91.119469, 155.516891, 13.923602, 22.690744, 54.767284
19, 235123.013914, 235123.013914, 91.425552, 155.467453, 13.707245, 22.724611, 52.470165
20, 235123.041827, 235123.041827, 91.302765, 155.645294, 13.609609, 22.405956, 52.724903
21, 235123.075354, 235123.075354, 91.301300, 155.728180, 13.484558, 22.396429, 53.654728
22, 235123.108769, 235123.108769, 91.509499, 155.658173, 13.564042, 22.233551, 53.895145
23, 235123.170552, 235123.170552, 91.587006, 155.722488, 13.509424, 22.158083, 54.101875
24, 235123.197482, 235123.197482, 85.111969, 157.000565, 14.649479, 23.293314, 62.991165
25, 235123.213910, 235123.213910, 76.819565, 157.591873, 16.162201, 23.151190, 67.912132
26, 235123.225331, 235123.225331, 68.975021, 157.120850, 17.286987, 23.650074, 76.495041
27, 235123.242804, 235123.242804, 61.015945, 155.868057, 18.318979, 24.164618, 84.019661
28, 235123.275316, 235123.275316, 53.315163, 153.768936, 18.978514, 24.743929, 93.244812
29, 235123.321057, 235123.321057, 53.597103, 153.824829, 19.144045, 25.142122, 95.278801
30, 235123.358763, 235123.358763, 53.995567, 153.908859, 19.284826, 24.790642, 92.672821
31, 235123.384059, 235123.384059, 54.214405, 153.982468, 19.283045, 25.145237, 93.929337
32, 235123.396953, 235123.396953, 54.361687, 154.095245, 19.656906, 25.037586, 94.393890
33, 235123.441893, 235123.441893, 54.432060, 154.119781, 19.674597, 25.032187, 93.373993
34, 235123.476119, 235123.476119, 54.478504, 154.103668, 19.642559, 25.167337, 92.379501
35, 235123.495420, 235123.495420, 54.393375, 154.118973, 19.728140, 25.133701, 93.501083
36, 235123.517425, 235123.517425, 54.438797, 154.149017, 19.698097, 25.042927, 93.811249
37, 235123.541974, 235123.541974, 54.512959, 154.160446, 19.734253, 25.265417, 92.643456
